subject,relation,object,subject_label,object_label,sentence,source_url
Diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Diabetes tends to progress in severity, and is due to either a reduced production of the hormone insulin by the pancreas or unresponsiveness of bodily cells to insulin's effects.",https://en.wikipedia.org/wiki/Diabetes
Diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Diabetes tends to progress in severity, and is due to either a reduced production of the hormone insulin by the pancreas or unresponsiveness of bodily cells to insulin's effects.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes is an autoimmune condition in which the body's immune system attacks the beta cells (β-cell) in the pancreas, preventing the production of insulin.",https://en.wikipedia.org/wiki/Diabetes
1,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes is an autoimmune condition in which the body's immune system attacks the beta cells (β-cell) in the pancreas, preventing the production of insulin.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 1 diabetes is an autoimmune condition in which the body's immune system attacks the beta cells (β-cell) in the pancreas, preventing the production of insulin.",https://en.wikipedia.org/wiki/Diabetes
Type,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2 diabetes occurs when the body becomes resistant to insulin, meaning the cells do not respond effectively to it, and thus, glucose remains in the bloodstream instead of being absorbed by the cells.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2 diabetes occurs when the body becomes resistant to insulin, meaning the cells do not respond effectively to it, and thus, glucose remains in the bloodstream instead of being absorbed by the cells.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Type 2 diabetes occurs when the body becomes resistant to insulin, meaning the cells do not respond effectively to it, and thus, glucose remains in the bloodstream instead of being absorbed by the cells.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,weight,DISEASE,SYMPTOM,"Signs and symptoms  Common symptoms of diabetes include increased thirst, frequent urination, extreme hunger, and unexplained weight loss.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,loss,DISEASE,SYMPTOM,"Signs and symptoms  Common symptoms of diabetes include increased thirst, frequent urination, extreme hunger, and unexplained weight loss.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,Hypoglycemia is a recognized complication of insulin treatment used in diabetes.,https://en.wikipedia.org/wiki/Diabetes
type,hasMedication*,insulin,DISEASE,MEDICATION,"Acanthosis nigricans on the skin may also be a sign of insulin resistance, which is a symptom of type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
2,hasMedication*,insulin,DISEASE,MEDICATION,"Acanthosis nigricans on the skin may also be a sign of insulin resistance, which is a symptom of type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasMedication*,insulin,DISEASE,MEDICATION,"Acanthosis nigricans on the skin may also be a sign of insulin resistance, which is a symptom of type 2 diabetes.",https://en.wikipedia.org/wiki/Diabetes
diabetes,treatedBy*,ophthalmologist,DISEASE,MEDICAL_SPECIALTY,It is recommended that people with diabetes visit an optometrist or ophthalmologist once a year.,https://en.wikipedia.org/wiki/Diabetes
chronic,hasTreatment*,dialysis,DISEASE,TREATMENT,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes
kidney,hasTreatment*,dialysis,DISEASE,TREATMENT,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes
disease,hasTreatment*,dialysis,DISEASE,TREATMENT,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes
diabetes,hasSymptom*,cognitive,DISEASE,SYMPTOM,"There is a link between cognitive deficit and diabetes; studies have shown that diabetic individuals are at a greater risk of cognitive decline, and have a greater rate of decline compared to those without the disease.",https://en.wikipedia.org/wiki/Diabetes
